date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:49	2256/2256	---M--	200	added ('OK')	image/jpeg	etag:%228d0-55d4e781493c0%22	http://www.freereikicourse.com/img/base/ba52.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba52.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:49	12634/12634	---M--	200	added ('OK')	image/jpeg	etag:%22315a-55d4e7debf040%22	http://www.freereikicourse.com/img/titles/mt.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/titles/mt.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:49	1790/1790	---M--	200	added ('OK')	image/jpeg	etag:%226fe-55d4e78f97580%22	http://www.freereikicourse.com/img/base/ba53.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba53.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:49	2258/2258	---M--	200	added ('OK')	image/jpeg	etag:%228d2-55d4e7860df00%22	http://www.freereikicourse.com/img/base/ba102.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba102.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:49	1073/1073	---M--	200	added ('OK')	image/jpeg	etag:%22431-55d4e79550300%22	http://www.freereikicourse.com/img/base/ba54.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba54.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:50	1709/1709	---M--	200	added ('OK')	image/jpeg	etag:%226ad-55d4e788ea5c0%22	http://www.freereikicourse.com/img/base/ba55.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba55.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:50	1029/1029	---M--	200	added ('OK')	image/jpeg	etag:%22405-55d4e79273c40%22	http://www.freereikicourse.com/img/base/ba56.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba56.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:50	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-55d4e788ea5c0%22	http://www.freereikicourse.com/img/base/spacer.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/spacer.gif	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:50	651/651	---M--	200	added ('OK')	image/jpeg	etag:%2228b-55d4e78ea3340%22	http://www.freereikicourse.com/img/base/navigtile1.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/navigtile1.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:51	1029/1029	---M--	200	added ('OK')	image/jpeg	etag:%22405-55d4e7823d600%22	http://www.freereikicourse.com/img/base/ngtile1.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ngtile1.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:51	16900/16900	---M--	200	added ('OK')	text/html	etag:%224204-55d4e7e0a74c0%22	http://www.freereikicourse.com/index.html	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/index-2.html	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:51	288/288	---M--	200	added ('OK')	image/gif	etag:%22120-55d4e7c6e7800%22	http://www.freereikicourse.com/img/navig/ngirhp.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/navig/ngirhp.gif	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:51	290/290	---M--	200	added ('OK')	image/gif	etag:%22122-55d4e7cd947c0%22	http://www.freereikicourse.com/img/navig/ngihp.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/navig/ngihp.gif	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:52	689/689	---M--	200	added ('OK')	image/jpeg	etag:%222b1-55d4e7908b7c0%22	http://www.freereikicourse.com/img/base/ba72.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba72.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:52	1029/1029	---M--	200	added ('OK')	image/jpeg	etag:%22405-55d4e78bc6c80%22	http://www.freereikicourse.com/img/base/ngtile2.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ngtile2.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:52	1192/1192	---M--	200	added ('OK')	image/gif	etag:%224a8-55d4e7d5359c0%22	http://www.freereikicourse.com/img/navig/ngir11.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/navig/ngir11.gif	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:52	405/405	---M--	200	added ('OK')	image/gif	etag:%22195-55d4e7ce88a00%22	http://www.freereikicourse.com/img/navig/ngi11.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/navig/ngi11.gif	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:53	689/689	---M--	200	added ('OK')	image/jpeg	etag:%222b1-55d4e78ad2a40%22	http://www.freereikicourse.com/img/base/ba73.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba73.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:53	1029/1029	---M--	200	added ('OK')	image/jpeg	etag:%22405-55d4e78425a80%22	http://www.freereikicourse.com/img/base/ngtile3.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ngtile3.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:53	1198/1198	---M--	200	added ('OK')	image/gif	etag:%224ae-55d4e7c4ff380%22	http://www.freereikicourse.com/img/navig/ngir12.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/navig/ngir12.gif	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:53	411/411	---M--	200	added ('OK')	image/gif	etag:%2219b-55d4e7cca0580%22	http://www.freereikicourse.com/img/navig/ngi12.gif	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/navig/ngi12.gif	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
12:25:54	689/689	---M--	200	added ('OK')	image/jpeg	etag:%222b1-55d4e7945c0c0%22	http://www.freereikicourse.com/img/base/ba74.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/base/ba74.jpg	(from http://www.freereikicourse.com/free_reiki_courses_11.html)
